rodada,Polinomial q=9 - MSE,Polinomial q=9 - R2,MQO tradicional - MSE,MQO tradicional - R2,MQO regularizado lambda=0.25 - MSE,MQO regularizado lambda=0.25 - R2,MQO regularizado lambda=0.5 - MSE,MQO regularizado lambda=0.5 - R2,MQO regularizado lambda=0.75 - MSE,MQO regularizado lambda=0.75 - R2,MQO regularizado lambda=1 - MSE,MQO regularizado lambda=1 - R2
66,3.797093646548802e+21,0.9934619263413987,1.5092907632536839e+24,-1.5987913654349857,1.4869337307593115e+24,-1.560295626629912,1.4650329514144934e+24,-1.522585493073596,1.4435773611161082e+24,-1.4856419139003219,1.422556217150357e+24,-1.449446391632637
67,5.108396512566533e+21,0.9974200776207205,2.387653854687417e+24,-0.20585032867510766,2.356972014472083e+24,-0.19035490540201305,2.3270043396951842e+24,-0.17522016113897454,2.2977327042013814e+24,-0.16043694153125587,2.2691395206987223e+24,-0.14599636436934427
68,2.2780005833716038e+21,0.998847599455967,1.3369532976417613e+24,0.32365877392856157,1.3220293159132403e+24,0.33120855455137,1.3075190103515024e+24,0.3385490636563685,1.2934113481147453e+24,0.345685882564733,1.2796956321342122e+24,0.35262442273594474
69,4.138049482055698e+21,0.9969644839565687,9.11095200562074e+23,0.33165514081153014,8.907832945880284e+23,0.34655518411073527,8.710113324471045e+23,0.3610591451071309,8.517650696272912e+23,0.3751774730340883,8.33030692968216e+23,0.3889203007017885
70,5.010613349124931e+21,0.9993843368102066,4.5965325134897224e+24,0.43521567679164164,4.5977312707725677e+24,0.4350683833005815,4.599296201894409e+24,0.43487609736288335,4.601214842677308e+24,0.43464035047479543,4.6034751457480665e+24,0.4343626229190092
71,9.347253907298398e+20,0.9916557138177365,1.3156760664251073e+24,-10.7450298561311,1.296279025057267e+24,-10.571872621003374,1.2772472602195918e+24,-10.401976206576135,1.258572194498281e+24,-10.235264042344108,1.2402454953513798e+24,-10.071661743771068
72,1.3907225529283621e+22,0.9924939388036518,1.7409144912768619e+24,0.06038694190884186,1.7115234878519667e+24,0.07624996720204769,1.682879557645353e+24,0.09170977926751334,1.6549632328065756e+24,0.10677688536827956,1.6277556316257568e+24,0.1214614764133477
73,6.88493546567444e+21,0.9948550580173512,2.014016610789747e+24,-0.5050247988909939,1.9758606123337688e+24,-0.47651176498896697,1.938593858725623e+24,-0.4486632417672909,1.902193771230524e+24,-0.4214623566959188,1.8666384424755674e+24,-0.394892738936933
74,3.4245525713365007e+21,0.9997507859383674,7.737375044024355e+24,0.436930045333478,7.769907469126204e+24,0.43456257173641655,7.802368104770898e+24,0.4322003224545984,7.834753258563005e+24,0.429843566193743,7.867059428346397e+24,0.42749255781533546
75,3.837530012971164e+21,0.9992961520294315,3.1317741999496807e+24,0.4255959152207468,3.121837597435971e+24,0.4274184045537244,3.112392169714402e+24,0.42915080667449146,3.103423359543086e+24,0.4307957915517845,3.094917072954886e+24,0.4323559441843221
